scenario,fitness,collision,execution_time
0_pop_0,101.41160324706723,NPC,4
0_pop_1,101.32812346945194,NPC,5
0_pop_2,102.61935943118665,NPC,8
0_pop_3,100.88878649492725,NPC,5
0_pop_4,201.14726477767664,Ego,20
0_pop_5,104.22042296024019,NPC,6
0_pop_6,102.51155535265174,NPC,17
0_pop_7,101.7040189347423,NPC,35
0_pop_8,101.44533244226345,NPC,24
0_pop_9,204.21265577266064,Ego,28
1_pop_0,102.23327016732212,NPC,5
1_pop_1,101.13113133662029,NPC,5
1_pop_2,100.78198070831938,NPC,7
1_pop_3,101.41070468407125,NPC,5
1_pop_4,63.988995880258116,None,60
1_pop_5,101.65281841671352,NPC,6
1_pop_6,102.9014980453085,NPC,17
1_pop_7,62.31430840924594,None,60
1_pop_8,202.39661349852736,Ego,19
1_pop_9,64.8267138979523,None,60
2_pop_0,102.13145215516374,NPC,32
2_pop_1,103.04044024641237,NPC,11
2_pop_2,101.25640258840733,NPC,20
2_pop_3,102.14368027959804,NPC,18
3_pop_0,101.01496299759333,NPC,21
3_pop_1,109.05350456694173,NPC,21
3_pop_2,102.83460695141746,NPC,26
3_pop_3,109.77611663042902,NPC,23
4_pop_0,70.47944796503995,None,60
4_pop_1,103.21591993908326,NPC,17
4_pop_2,204.72553284003186,Ego,14
4_pop_3,102.9699095686928,NPC,17
5_lis_pop_0,105.69999267423314,Ego,8
5_lis_pop_1,70.3634981746145,None,60
5_lis_pop_2,101.22614318760779,NPC,22
5_lis_pop_3,207.5141394977846,Ego,15
6_lis_pop_lis_0,102.45610872070168,NPC,7
6_lis_pop_lis_1,206.63371892701343,Ego,8
6_lis_pop_lis_2,69.76191884822315,None,60
6_lis_pop_lis_3,201.5200012736691,Ego,19
7_lis_pop_lis_0,105.55209250524408,NPC,40
7_lis_pop_lis_1,101.86024241904967,NPC,35
7_lis_pop_lis_2,204.7468388770581,Ego,15
7_lis_pop_lis_3,101.18393703266206,NPC,20
8_lis_pop_lis_0,102.84342220804591,NPC,7
8_lis_pop_lis_1,70.3047401676249,None,60
8_lis_pop_lis_2,105.2152676790131,Ego,7
8_lis_pop_lis_3,208.58951107537337,Ego,8
9_pop_0,66.79904425812369,None,60
9_pop_1,207.15026034726927,Ego,8
9_pop_2,100.75753448349302,NPC,5
9_pop_3,101.08912628039711,NPC,5
9_pop_4,102.9025821967298,NPC,7
9_pop_5,207.1176285319758,Ego,8
9_pop_6,206.83639152395497,Ego,8
10_lis_pop_0,66.51620248631193,None,60
10_lis_pop_1,205.2269462194487,Ego,15
10_lis_pop_2,64.49336762982875,None,60
10_lis_pop_3,100.96368175751178,NPC,12
11_lis_pop_0,103.66396664772837,NPC,4
11_lis_pop_1,100.8924833421225,NPC,4
11_lis_pop_2,102.50534531021624,NPC,5
11_lis_pop_3,100.95057060825718,NPC,5
11_lis_pop_4,101.05431828289679,NPC,4
11_lis_pop_5,101.2890046438536,NPC,5
11_lis_pop_6,101.78631713365287,NPC,6
11_lis_pop_7,102.49542101665767,NPC,4
11_lis_pop_8,112.13852140712133,NPC,27
11_lis_pop_9,61.28225827144944,None,60
12_pop_0,69.51661550858562,None,60
12_pop_1,209.00167821271316,Ego,8
12_pop_2,208.206451873523,Ego,14
12_pop_3,206.09938966585375,Ego,15
12_pop_4,71.06898611574073,None,60
12_pop_5,105.00281058498692,NPC,36
12_pop_6,205.29943488271323,Ego,15
13_pop_0,68.23765595042218,None,60
13_pop_1,110.356885079011,Ego,31
13_pop_2,203.71847305798755,Ego,21
13_pop_3,204.04600604056898,Ego,19
13_pop_4,200.9053561148118,Ego,21
13_pop_5,204.7840060338494,Ego,15
13_pop_6,204.5921259095686,Ego,20
14_pop_0,103.70261694084357,NPC,6
14_pop_1,202.2226780222436,Ego,15
14_pop_2,101.56223320486211,NPC,15
14_pop_3,202.49829232757224,Ego,19
15_pop_0,102.24666520008493,NPC,28
15_pop_1,101.34745974348665,NPC,30
15_pop_2,204.67756692482527,Ego,15
15_pop_3,205.54795881684777,NPC,15
16_pop_0,105.75685090931653,NPC,25
16_pop_1,204.08858160468392,Ego,20
16_pop_2,200.5778775716941,Ego,23
16_pop_3,204.3959265065937,Ego,20
17_pop_0,105.55472577917512,NPC,35
17_pop_1,101.8505731808095,NPC,20
17_pop_2,205.22595542098756,Ego,15
17_pop_3,204.7718409144257,Ego,19
18_pop_0,100.85635416604514,NPC,5
18_pop_1,102.95315762958948,NPC,10
18_pop_2,101.19729151899507,NPC,5
18_pop_3,202.4938999752284,Ego,31
18_pop_4,102.85178406988297,NPC,11
18_pop_5,101.43969821692598,NPC,6
18_pop_6,103.09317574991046,NPC,5
18_pop_7,60.31073421945244,None,60
18_pop_8,102.75515604097676,NPC,10
18_pop_9,100.6348428357361,NPC,5
19_pop_0,103.14967564992642,NPC,32
19_pop_1,101.42940277037486,NPC,5
19_pop_2,101.78623315653164,NPC,5
19_pop_3,104.95725207529982,NPC,18
20_pop_0,100.62500634984404,NPC,22
20_pop_1,64.07144533281048,None,60
20_pop_2,104.76880626095041,NPC,18
20_pop_3,67.48195766873899,None,60
21_pop_0,204.8113009852819,Ego,15
21_pop_1,101.18731325108061,NPC,6
21_pop_2,104.56900401435017,NPC,18
21_pop_3,101.91526559664192,NPC,5
22_lis_pop_0,102.9196942275028,NPC,22
22_lis_pop_1,104.39863536601662,NPC,17
22_lis_pop_2,203.9034873017176,NPC,29
22_lis_pop_3,103.8152474850522,NPC,18
23_pop_0,102.57496425272473,NPC,12
23_pop_1,102.4849022324326,NPC,21
23_pop_2,204.06811562702848,Ego,25
23_pop_3,101.99487930313498,NPC,21
