scenario,fitness,collision,execution_time
0_pop_0,208.0875558788143,Ego,33
0_pop_1,203.51993625684403,Ego,13
0_pop_2,59.67364519575848,None,60
0_pop_3,67.50054357960586,None,60
0_pop_4,106.08725825184925,NPC,5
0_pop_5,206.84078864936845,Ego,14
0_pop_6,205.21664884489488,Ego,14
0_pop_7,61.051179434734486,None,60
0_pop_8,60.7277462223601,None,60
0_pop_9,64.09973963799966,None,60
1_pop_0,205.80216195637388,Ego,14
1_pop_1,203.64278128964895,Ego,14
1_pop_2,60.38063917608892,None,60
1_pop_3,64.95937183974208,None,60
1_pop_4,106.17346253630319,NPC,5
1_pop_5,206.13647789576385,Ego,14
1_pop_6,205.7192105698325,Ego,14
1_pop_7,62.66680754216328,None,60
1_pop_8,61.64350355616532,None,60
1_pop_9,63.370495680189045,None,60
2_pop_0,205.84151615948053,Ego,14
2_pop_1,205.55830197044116,Ego,14
2_pop_2,204.8512931474919,Ego,14
2_pop_3,205.70926141316824,Ego,14
3_pop_0,205.04802009892703,Ego,14
3_pop_1,207.30309019596277,Ego,14
3_pop_2,204.906919044586,Ego,14
3_pop_3,204.96652002027923,Ego,14
4_pop_0,205.76631815658556,Ego,14
4_pop_1,205.54453712193902,Ego,14
4_pop_2,206.43352395801674,Ego,14
4_pop_3,205.32793539423193,Ego,14
5_pop_0,205.14011638008645,Ego,14
5_pop_1,205.21744941748779,Ego,14
5_pop_2,205.4277165818583,Ego,14
5_pop_3,205.3750821467002,Ego,14
6_pop_0,106.57324634758874,Ego,6
6_pop_1,66.02518619379737,None,60
6_pop_2,205.21782079824828,Ego,14
6_pop_3,108.4438663077288,Ego,6
6_pop_4,203.89607385080578,Ego,14
6_pop_5,108.05301159333318,Ego,6
6_pop_6,104.89749654632872,NPC,20
6_pop_7,63.682185126493934,None,60
6_pop_8,203.54753383997934,Ego,14
6_pop_9,106.12114515787287,NPC,20
7_pop_0,203.74744571890025,Ego,14
7_pop_1,67.50902254028368,None,60
7_pop_2,205.70317673229647,Ego,14
7_pop_3,203.55919627924118,Ego,14
8_pop_0,211.0320977178141,Ego,14
8_pop_1,62.37127300417369,None,60
8_pop_2,206.72720451351626,Ego,14
8_pop_3,203.7816627392599,Ego,14
9_lis_pop_0,203.2924375975423,Ego,14
9_lis_pop_1,204.97459806410956,Ego,14
9_lis_pop_2,204.97249293450355,Ego,14
9_lis_pop_3,209.53952528359207,Ego,14
10_lis_pop_lis_0,203.78236044636668,Ego,14
10_lis_pop_lis_1,204.6799031512948,Ego,14
10_lis_pop_lis_2,205.37863527406367,Ego,14
10_lis_pop_lis_3,206.69283376059053,Ego,14
11_lis_pop_0,62.76826584933606,None,60
11_lis_pop_1,104.95946560342446,NPC,5
11_lis_pop_2,62.57182329786397,None,60
11_lis_pop_3,65.4219137472207,None,60
11_lis_pop_4,65.34613478441909,None,60
11_lis_pop_5,65.05632315859415,None,60
11_lis_pop_6,65.60952652262777,None,60
11_lis_pop_7,103.39336371155356,NPC,5
11_lis_pop_8,203.80251170866194,Ego,14
11_lis_pop_9,62.96647294769669,None,60
12_lis_pop_lis_0,203.77631894550515,Ego,14
12_lis_pop_lis_1,104.03146725235135,NPC,5
12_lis_pop_lis_2,203.67686202867412,Ego,14
12_lis_pop_lis_3,105.81948046896551,NPC,5
13_lis_pop_lis_0,203.68956624546533,Ego,14
13_lis_pop_lis_1,203.79819780214916,Ego,14
13_lis_pop_lis_2,203.9119275190036,Ego,14
13_lis_pop_lis_3,203.83659768846582,Ego,14
14_pop_0,203.82917241200664,Ego,14
14_pop_1,205.06655180473155,Ego,14
14_pop_2,205.28449248960848,Ego,14
14_pop_3,204.91030504707652,Ego,14
15_lis_pop_0,203.4272857203195,Ego,14
15_lis_pop_1,205.3593249234409,Ego,14
15_lis_pop_2,206.32152324812807,Ego,14
15_lis_pop_3,206.33999439180872,Ego,14
16_pop_0,203.41707574587178,Ego,14
16_pop_1,205.3007707538673,Ego,14
16_pop_2,205.66412869519758,Ego,14
16_pop_3,207.15597648525318,Ego,14
17_lis_pop_0,203.4187009469106,Ego,14
17_lis_pop_1,205.28436556019864,Ego,14
17_lis_pop_2,205.8346823527133,Ego,14
17_lis_pop_3,206.1167281509483,Ego,14
