scenario,fitness,collision,execution_time
27_pop_3,205.341966079886,Ego,14
28_pop_0,211.4780586929144,Ego,14
28_pop_1,205.24769237814473,Ego,14
28_pop_2,205.35580854246228,Ego,14
28_pop_3,204.85593941897602,Ego,14
29_pop_0,211.48355026475951,Ego,14
29_pop_1,205.20086098731196,Ego,14
29_pop_2,205.13113034915258,Ego,14
29_pop_3,205.33592497578942,Ego,14
30_pop_0,66.176957517447,None,60
30_pop_1,205.69612567128127,Ego,14
30_pop_2,205.03682787967574,Ego,14
30_pop_3,206.397102413188,Ego,14
31_pop_0,108.55881410504514,Ego,6
31_pop_1,211.06255275852595,Ego,13
31_pop_2,62.96323081161697,None,60
31_pop_3,103.52827938519145,NPC,5
31_pop_4,61.497151758857015,None,60
31_pop_5,65.25251385252781,None,60
31_pop_6,105.1116124824467,NPC,20
31_pop_7,104.90103411103932,NPC,20
31_pop_8,203.82783517697894,Ego,14
31_pop_9,65.09134595511962,None,60
32_pop_0,211.63138785065175,Ego,13
32_pop_1,203.39243443101884,Ego,13
32_pop_2,203.6907723792532,Ego,13
32_pop_3,203.72210567640622,Ego,13
33_pop_0,211.36693742927062,Ego,13
33_pop_1,203.82904329540676,Ego,14
33_pop_2,203.8418092082581,Ego,14
33_pop_3,203.6732036686284,Ego,13
34_pop_0,211.2282906610963,Ego,13
34_pop_1,203.57855120203465,Ego,14
34_pop_2,203.71561265908935,Ego,14
34_pop_3,203.77609456016773,Ego,14
35_pop_0,211.70874753257513,Ego,13
35_pop_1,203.6767350486204,Ego,14
35_pop_2,203.90246501544289,Ego,14
35_pop_3,203.6847817191728,Ego,14
36_lis_pop_0,211.60470121333486,Ego,13
36_lis_pop_1,203.6491012644592,Ego,14
36_lis_pop_2,203.7878162780055,Ego,14
36_lis_pop_3,203.82129970159264,Ego,14
37_pop_0,211.0103507886204,Ego,13
37_pop_1,203.64377038084615,Ego,14
37_pop_2,203.83184405967165,Ego,14
37_pop_3,203.73975862196568,Ego,14
38_pop_0,102.17786466189264,NPC,23
38_pop_1,103.61844769058293,NPC,6
38_pop_2,63.78430231748456,None,60
38_pop_3,106.48959698868258,NPC,20
38_pop_4,203.50437658873835,Ego,14
38_pop_5,106.12037203107646,NPC,20
38_pop_6,205.37489742239833,Ego,14
