scenario,fitness,collision,execution_time
0_pop_0,102.0255384,NPC,5
0_pop_1,64.37761533,None,60
0_pop_2,201.9918291,NPC,41
0_pop_3,202.5886121,NPC,13
0_pop_4,60.18767061,None,60
0_pop_5,63.22620934,None,60
0_pop_6,102.2397619,NPC,5
0_pop_7,206.7543524,NPC,13
0_pop_8,102.4317042,NPC,4
0_pop_9,101.7454795,NPC,32
1_pop_0,102.91046,NPC,5
1_pop_1,67.07687902,None,60
1_pop_2,72.31527761,None,60
1_pop_3,207.1157676,NPC,53
1_pop_4,61.30234564,None,60
1_pop_5,64.38114841,None,60
1_pop_6,102.1994385,NPC,5
1_pop_7,207.1290305,NPC,13
1_pop_8,102.4029485,NPC,4
1_pop_9,102.5326134,NPC,36
2_pop_0,103.0178211,NPC,5
2_pop_1,62.86248897,None,60
2_pop_2,71.08225153,None,60
2_pop_3,72.21080423,None,60
2_pop_4,60.59599692,None,60
2_pop_5,63.34876563,None,60
2_pop_6,102.2418148,NPC,5
2_pop_7,206.570674,NPC,13
2_pop_8,102.249622,NPC,4
2_pop_9,101.2114617,NPC,32
3_pop_0,206.2315748,NPC,13
3_pop_1,102.9356893,NPC,5
3_pop_2,102.8784656,NPC,5
3_pop_3,102.6074565,NPC,5
4_pop_0,207.0823975,Ego,13
4_pop_1,207.1989609,NPC,13
4_pop_2,206.7910964,NPC,13
4_pop_3,206.4234717,NPC,13
5_lis_pop_0,107.8017049,Ego,21
5_lis_pop_1,206.6472572,NPC,13
5_lis_pop_2,206.564083,Ego,13
5_lis_pop_3,206.9352816,NPC,13
6_lis_pop_lis_0,206.7334687,NPC,13
6_lis_pop_lis_1,206.5240352,NPC,13
6_lis_pop_lis_2,207.3008442,NPC,13
6_lis_pop_lis_3,206.749652,Ego,13
7_lis_pop_lis_0,206.3584131,NPC,13
7_lis_pop_lis_1,207.0173224,Ego,13
7_lis_pop_lis_2,206.4953462,NPC,22
7_lis_pop_lis_3,203.4679628,NPC,13
8_lis_pop_lis_0,206.6693462,NPC,13
8_lis_pop_lis_1,205.6220303,NPC,21
8_lis_pop_lis_2,206.8533017,NPC,13
8_lis_pop_lis_3,103.2734554,NPC,31
9_lis_pop_0,202.8706226,NPC,16
9_lis_pop_1,58.12017271,None,60
9_lis_pop_2,203.3317603,NPC,12
9_lis_pop_3,57.68753261,NPC,60
9_lis_pop_4,55.25024387,NPC,60
9_lis_pop_5,56.64633418,None,60
9_lis_pop_6,59.33986995,NPC,60
9_lis_pop_7,64.9975738,None,60
9_lis_pop_8,102.7428664,NPC,20
9_lis_pop_9,102.7632314,NPC,5
10_pop_0,206.6072801,NPC,13
10_pop_1,206.8936646,NPC,13
10_pop_2,206.5262649,NPC,13
10_pop_3,206.5262146,NPC,13
10_pop_4,207.3919376,NPC,13
11_pop_0,206.9363978,NPC,13
11_pop_1,206.5340722,NPC,13
11_pop_2,206.6873014,Ego,13
11_pop_3,206.7917003,NPC,13
11_pop_4,206.0636774,NPC,13
12_pop_0,206.8958544,NPC,13
12_pop_1,206.1371164,NPC,13
12_pop_2,206.8524892,NPC,13
12_pop_3,206.8763051,Ego,13
13_pop_0,206.9417684,Ego,13
13_pop_1,205.6333778,NPC,13
13_pop_2,207.0421783,Ego,13
13_pop_3,206.7545649,NPC,13
14_pop_0,207.5528036,Ego,13
14_pop_1,206.4121507,NPC,13
14_pop_2,206.6148092,NPC,13
14_pop_3,206.3019728,NPC,13
15_lis_pop_0,207.787115,Ego,13
15_lis_pop_1,102.8662314,NPC,5
15_lis_pop_2,206.7773666,NPC,13
15_lis_pop_3,206.7275211,NPC,13
16_pop_0,206.6034969,Ego,13
16_pop_1,206.8495387,Ego,13
16_pop_2,206.3939336,NPC,13
16_pop_3,206.4856567,Ego,13
16_pop_4,206.646129,NPC,13
17_pop_0,113.7744469,NPC,25
17_pop_1,207.6434282,NPC,31
17_pop_2,102.8608502,NPC,5
17_pop_3,101.8657095,NPC,5
17_pop_4,103.4669233,NPC,32
17_pop_5,62.71323478,None,60
17_pop_6,61.33768064,None,60
17_pop_7,102.1750146,NPC,37
17_pop_8,64.31053008,None,60
17_pop_9,204.1422111,Ego,43
18_pop_0,103.8673737,NPC,23
18_pop_1,206.7856804,Ego,31
18_pop_2,66.10114489,None,60
18_pop_3,64.16814194,Ego,60
19_pop_0,102.6665742,NPC,16
19_pop_1,203.8257437,Ego,21
19_pop_2,103.9138868,NPC,31
19_pop_3,66.1851886,None,60
20_pop_0,101.8545234,NPC,13
20_pop_1,203.6931339,Ego,21
20_pop_2,103.6806508,NPC,31
20_pop_3,63.63491036,None,60
21_pop_0,101.9889782,NPC,13
21_pop_1,203.0164966,NPC,21
21_pop_2,107.4269582,NPC,31
21_pop_3,66.62777965,None,60
22_pop_0,107.9919797,NPC,22
22_pop_1,65.26321326,None,60
22_pop_2,100.8879932,NPC,35
22_pop_3,63.31020983,None,60
22_pop_4,67.25838934,None,60
22_pop_5,70.68714651,None,60
22_pop_6,100.9287158,NPC,51
22_pop_7,101.3504966,NPC,7
22_pop_8,102.9893571,NPC,34
22_pop_9,61.88914374,None,60
23_pop_0,203.2463563,NPC,40
23_pop_1,102.6541639,NPC,35
23_pop_2,205.3313358,NPC,13
23_pop_3,201.5998353,NPC,11
24_pop_0,66.35132956,None,60
24_pop_1,102.9991844,NPC,34
24_pop_2,206.5027398,NPC,13
24_pop_3,202.3279312,NPC,11
25_lis_pop_0,103.0448266,NPC,18
25_lis_pop_1,202.3754895,Ego,11
25_lis_pop_2,205.7214219,NPC,13
25_lis_pop_3,202.5831452,NPC,11
26_pop_0,101.6640468,NPC,39
26_pop_1,205.253273,NPC,13
26_pop_2,206.4759874,NPC,13
26_pop_3,205.1731974,NPC,13
26_pop_4,206.5049431,NPC,13
27_lis_pop_0,206.5614701,NPC,13
27_lis_pop_1,206.9016213,Ego,13
27_lis_pop_2,108.7393353,NPC,31
27_lis_pop_3,205.2677819,NPC,13
28_pop_0,66.62717842,None,60
28_pop_1,205.4560209,NPC,13
28_pop_2,62.46516803,None,60
28_pop_3,63.1409933,None,60
28_pop_4,206.8822766,Ego,13
29_lis_pop_0,206.7632683,NPC,13
29_lis_pop_1,205.9129909,NPC,13
29_lis_pop_2,206.3783659,NPC,13
29_lis_pop_3,205.4470949,NPC,13
30_pop_0,201.2306755,Ego,31
30_pop_1,205.3144989,NPC,13
30_pop_2,205.3839924,NPC,13
30_pop_3,205.588952,Ego,13
30_pop_4,207.2563681,Ego,13
31_lis_pop_0,206.869547,NPC,13
31_lis_pop_1,205.5652979,NPC,13
31_lis_pop_2,206.6455788,NPC,13
31_lis_pop_3,205.2655513,NPC,13
32_pop_0,109.4648,NPC,32
32_pop_1,206.8801062,NPC,13
32_pop_2,206.5188652,NPC,13
32_pop_3,206.1949072,Ego,13
32_pop_4,206.790899,Ego,13
33_pop_0,102.5942129,NPC,5
33_pop_1,111.8426365,NPC,33
33_pop_2,101.9305944,NPC,5
33_pop_3,63.33842487,None,60
33_pop_4,102.0135228,NPC,5
33_pop_5,59.745672,None,60
33_pop_6,100.3162115,NPC,40
33_pop_7,64.15516581,None,60
33_pop_8,203.2177689,NPC,15
33_pop_9,102.6322922,NPC,5
34_pop_0,105.8443747,NPC,27
34_pop_1,66.35087579,None,60
34_pop_2,203.4981443,NPC,15
34_pop_3,100.5583549,NPC,24
35_pop_0,102.7415322,NPC,25
35_pop_1,100.5103403,NPC,21
35_pop_2,203.1966393,NPC,16
35_pop_3,107.6289995,NPC,51
36_pop_0,106.0341219,NPC,26
36_pop_1,203.847693,NPC,15
36_pop_2,203.7255841,NPC,16
36_pop_3,203.3964866,NPC,15
37_lis_pop_0,101.5114561,NPC,49
37_lis_pop_1,100.4617888,NPC,18
37_lis_pop_2,203.355423,NPC,15
37_lis_pop_3,102.3838104,NPC,5
38_lis_pop_0,106.6933953,NPC,17
38_lis_pop_1,101.6370822,NPC,6
38_lis_pop_2,111.6098462,NPC,23
38_lis_pop_3,104.4140749,NPC,32
38_lis_pop_4,202.1451263,Ego,45
38_lis_pop_5,101.4240673,NPC,32
38_lis_pop_6,71.18328124,None,60
38_lis_pop_7,61.21613746,None,60
38_lis_pop_8,62.84126266,None,60
