scenario,fitness,collision,execution_time
38_lis_pop_9,71.84529226,None,60
39_pop_0,102.8151268,NPC,25
39_pop_1,203.6373897,NPC,15
39_pop_2,203.1389719,NPC,15
39_pop_3,203.971541,NPC,15
39_pop_4,206.882035,NPC,13
40_pop_0,102.7565123,NPC,25
40_pop_1,203.5062698,NPC,15
40_pop_2,202.8455362,NPC,15
40_pop_3,203.2440107,NPC,16
40_pop_4,206.7547704,NPC,13
41_pop_0,207.2818262,Ego,13
41_pop_1,203.3669251,NPC,15
41_pop_2,206.6282694,NPC,13
41_pop_3,101.0226058,NPC,39
42_lis_pop_0,206.4640398,NPC,13
42_lis_pop_1,206.0945616,NPC,13
42_lis_pop_2,206.488106,NPC,13
42_lis_pop_3,206.6607928,NPC,13
43_pop_0,70.30319384,None,60
43_pop_1,206.4469121,Ego,13
43_pop_2,206.4574301,NPC,13
43_pop_3,206.0947659,NPC,13
43_pop_4,206.9022134,NPC,13
44_pop_0,206.2666137,NPC,13
44_pop_1,205.9044453,NPC,13
44_pop_2,206.4377357,NPC,13
44_pop_3,206.9183498,Ego,13
45_pop_0,206.9994863,Ego,13
45_pop_1,206.6161697,NPC,13
45_pop_2,204.5705989,Ego,14
45_pop_3,206.6150782,NPC,13
46_pop_0,206.6836564,NPC,13
46_pop_1,206.7872167,NPC,13
46_pop_2,204.1865737,NPC,14
46_pop_3,206.8330341,NPC,13
47_pop_0,106.5535389,NPC,37
47_pop_1,63.00406956,None,60
47_pop_2,64.05407769,None,60
47_pop_3,53.3759853,NPC,60
47_pop_4,63.36782071,None,60
47_pop_5,64.96427392,None,60
47_pop_6,102.8771452,NPC,5
47_pop_7,102.7378459,NPC,5
47_pop_8,61.29328465,None,60
47_pop_9,71.13154751,None,60
48_pop_0,203.9316128,Ego,35
48_pop_1,102.6719708,NPC,5
48_pop_2,61.41367206,None,60
48_pop_3,102.8692034,NPC,5
49_pop_0,62.46710817,None,60
49_pop_1,102.4903864,NPC,5
49_pop_2,62.15109421,None,60
49_pop_3,102.6273322,NPC,5
