generation,individual_id,fitness,population_data
3,6,62.57381760848231,"{'npc0': [[16, 1], [68, 2], [65, 1], [85, 2], [37, 1], [35, 2]], 'npc1': [[89, 2], [80, 2], [19, 2], [40, 1], [20, 8], [57, 8]]}"
3,7,59.450131947632656,"{'npc0': [[15, 1], [38, 2], [64, 2], [67, 3], [46, 2], [80, 2]], 'npc1': [[38, 1], [78, 8], [43, 1], [59, 2], [80, 1], [39, 2]]}"
4,0,102.77407139323677,"{'npc0': [[81, 6], [69, 5], [69, 4], [37, 5], [87, 5], [50, 4]], 'npc1': [[17, 3], [13, 3], [75, 4], [84, 5], [67, 5], [48, 6]]}"
4,1,102.86032229770552,"{'npc0': [[81, 6], [69, 5], [61, 5], [37, 5], [87, 6], [50, 4]], 'npc1': [[17, 3], [35, 3], [61, 4], [84, 5], [67, 5], [48, 6]]}"
4,2,101.30080242990617,"{'npc0': [[21, 6], [69, 5], [61, 4], [37, 5], [87, 5], [50, 4]], 'npc1': [[17, 3], [36, 3], [61, 4], [84, 5], [67, 5], [48, 6]]}"
4,3,102.8549644838272,"{'npc0': [[81, 6], [69, 5], [61, 5], [37, 5], [87, 6], [50, 4]], 'npc1': [[17, 3], [35, 3], [75, 4], [84, 5], [67, 5], [48, 7]]}"
4,4,102.86880246571683,"{'npc0': [[81, 6], [69, 5], [61, 4], [37, 5], [87, 5], [50, 4]], 'npc1': [[17, 3], [35, 3], [75, 4], [84, 5], [67, 5], [48, 6]]}"
4,5,101.92040566416759,"{'npc0': [[50, 6], [25, 7], [8, 7], [76, 8], [75, 1], [26, 8]], 'npc1': [[72, 1], [21, 1], [40, 8], [3, 7], [42, 6], [47, 7]]}"
4,6,62.57381760848231,"{'npc0': [[16, 1], [68, 2], [65, 1], [85, 2], [37, 1], [35, 2]], 'npc1': [[89, 2], [80, 2], [19, 2], [40, 1], [20, 8], [57, 8]]}"
4,7,59.450131947632656,"{'npc0': [[15, 1], [38, 2], [64, 2], [67, 3], [46, 2], [80, 2]], 'npc1': [[38, 1], [78, 8], [43, 1], [59, 2], [80, 1], [39, 2]]}"
5,0,102.86283018248513,"{'npc0': [[81, 6], [69, 5], [61, 4], [37, 5], [87, 5], [50, 4]], 'npc1': [[17, 3], [35, 3], [75, 4], [84, 5], [67, 5], [48, 6]]}"
5,1,102.86644391329408,"{'npc0': [[81, 6], [69, 5], [61, 5], [37, 5], [87, 6], [50, 4]], 'npc1': [[17, 3], [35, 3], [61, 4], [84, 5], [67, 5], [48, 6]]}"
5,2,102.85794673395806,"{'npc0': [[81, 6], [69, 5], [61, 4], [37, 5], [87, 5], [50, 4]], 'npc1': [[17, 3], [69, 5], [75, 4], [84, 5], [67, 5], [48, 6]]}"
5,3,102.86615693688495,"{'npc0': [[81, 6], [35, 3], [61, 5], [37, 5], [87, 6], [50, 4]], 'npc1': [[17, 3], [35, 3], [61, 4], [84, 5], [67, 5], [48, 6]]}"
5,4,102.86880246571683,"{'npc0': [[81, 6], [69, 5], [61, 4], [37, 5], [87, 5], [50, 4]], 'npc1': [[17, 3], [35, 3], [75, 4], [84, 5], [67, 5], [48, 6]]}"
5,5,101.92040566416759,"{'npc0': [[50, 6], [25, 7], [8, 7], [76, 8], [75, 1], [26, 8]], 'npc1': [[72, 1], [21, 1], [40, 8], [3, 7], [42, 6], [47, 7]]}"
5,6,62.57381760848231,"{'npc0': [[16, 1], [68, 2], [65, 1], [85, 2], [37, 1], [35, 2]], 'npc1': [[89, 2], [80, 2], [19, 2], [40, 1], [20, 8], [57, 8]]}"
5,7,59.450131947632656,"{'npc0': [[15, 1], [38, 2], [64, 2], [67, 3], [46, 2], [80, 2]], 'npc1': [[38, 1], [78, 8], [43, 1], [59, 2], [80, 1], [39, 2]]}"
6,0,59.34754490583385,"{'npc0': [[43, 3], [43, 3], [32, 3], [61, 4], [62, 3], [83, 3]], 'npc1': [[53, 4], [32, 2], [65, 1], [59, 2], [59, 2], [39, 4]]}"
6,1,202.4146693922014,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 6], [36, 7], [17, 8]], 'npc1': [[54, 3], [59, 5], [27, 5], [66, 3], [39, 8], [89, 4]]}"
6,2,64.14226629544696,"{'npc0': [[55, 8], [4, 6], [70, 2], [56, 7], [45, 8], [70, 8]], 'npc1': [[33, 1], [81, 6], [41, 1], [30, 1], [28, 5], [57, 7]]}"
6,3,63.05237678100382,"{'npc0': [[64, 8], [8, 8], [46, 6], [49, 5], [36, 4], [27, 6]], 'npc1': [[15, 1], [42, 7], [78, 8], [65, 2], [34, 5], [8, 1]]}"
6,4,72.09265468379763,"{'npc0': [[76, 5], [35, 1], [44, 1], [29, 4], [76, 6], [56, 4]], 'npc1': [[83, 3], [88, 8], [57, 1], [85, 4], [50, 8], [62, 1]]}"
6,5,100.95235100532064,"{'npc0': [[38, 2], [86, 8], [58, 1], [84, 1], [21, 3], [32, 5]], 'npc1': [[34, 7], [55, 6], [44, 8], [32, 6], [61, 1], [45, 8]]}"
6,6,60.012239278025994,"{'npc0': [[65, 8], [20, 8], [72, 3], [49, 6], [5, 2], [47, 7]], 'npc1': [[48, 1], [71, 5], [83, 8], [37, 7], [88, 7], [57, 4]]}"
6,7,102.87642509948711,"{'npc0': [[89, 6], [32, 6], [46, 3], [75, 7], [51, 7], [56, 1]], 'npc1': [[7, 1], [69, 2], [12, 8], [54, 2], [46, 6], [31, 3]]}"
7,0,62.21112656464228,"{'npc0': [[80, 5], [3, 4], [69, 5], [52, 6], [36, 7], [17, 8]], 'npc1': [[52, 3], [59, 5], [27, 5], [66, 3], [39, 8], [89, 4]]}"
7,1,102.55664121631843,"{'npc0': [[89, 6], [32, 6], [46, 3], [75, 7], [51, 7], [56, 1]], 'npc1': [[7, 1], [69, 2], [12, 8], [54, 2], [46, 6], [31, 3]]}"
